Name;Phone;Email;Website;Address;
Matthiol Hotel;https://tel.search.ch/zermatt/moosstrasse-40/matthiol-hotel;027 968 17 17 *;;;Moosstrasse 40, 3920 Zermatt/VS
Parkhotel;https://tel.search.ch/bad-zurzach/badstrasse-44/parkhotel;056 269 88 11 *;;;Badstrasse 44, 5330 Bad Zurzach/AG
Park Hotel Oberhofen;https://tel.search.ch/oberhofen-am-thunersee/friedbuehlweg-36/park-hotel-oberhofen;033 244 91 91;;;Friedbühlweg 36, 3653 Oberhofen am Thunersee/BE
Paxmontana;https://tel.search.ch/flueeli-ranft/dossen-1/paxmontana;041 666 24 00 *;;;Dossen 1, 6073 Flüeli-Ranft/OW
RAMADA Hotel Solothurn;https://tel.search.ch/solothurn/schaenzlistrasse-5/ramada-hotel-solothurn;032 655 46 00;;;Schänzlistrasse 5, 4500 Solothurn
Restaurant & Hotel Frohsinn AG;https://tel.search.ch/kuessnacht-am-rigi/zugerstrasse-5/restaurant-hotel-frohsinn-ag;041 850 14 14 *;;;Zugerstrasse 5, 6403 Küssnacht am Rigi/SZ
Restaurant Waldheim;https://tel.search.ch/hermetschwil-staffeln/waldheimweg-2/restaurant-waldheim;056 633 88 88 *;;;Waldheimweg 2, 5626 Hermetschwil-Staffeln/AG
Schloss Hünigen;https://tel.search.ch/konolfingen/freimettigenstrasse-9/schloss-huenigen-3;031 791 26 11 *;;;Freimettigenstrasse 9, 3510 Konolfingen/BE
Seminarhotel Kloster Kappel;https://tel.search.ch/kappel-am-albis/-/seminarhotel-kloster-kappel;044 764 88 10 *;;;8926 Kappel am Albis/ZH
Starling Geneva Hotel & Conference Center;https://tel.search.ch/le-grand-saconnex/route-francois-peyrot-34/starling-geneva-hotel-conference-center-2;022 747 02 02 *;;;route François-Peyrot 34, 1218 Le Grand-Saconnex/GE
Suvretta House;https://tel.search.ch/st-moritz/via-chasellas-1/suvretta-house;081 836 36 36;;;Via Chasellas 1, 7500 St. Moritz/GR
City Hotel Oberland;https://tel.search.ch/interlaken/hoeheweg-7/city-hotel-oberland-2;033 827 87 87 *;;;Höheweg 7, 3800 Interlaken/BE
Excelsior;https://tel.search.ch/zermatt/hofmattstrasse-38/excelsior;027 966 35 00 *;;;Hofmattstrasse 38, 3920 Zermatt/VS
Gasthaus Schlosshalde;https://tel.search.ch/stadel/moersburgstrasse-36/gasthaus-schlosshalde;052 233 78 78 *;;;Mörsburgstrasse 36, 8404 Stadel (Winterthur)/ZH
Hotel Albris;https://tel.search.ch/pontresina/via-maistra-228/hotel-albris;081 838 80 40 *;;;Via Maistra 228, 7504 Pontresina/GR
Hotel Bildungszentrum 21 AG;https://tel.search.ch/basel/missionsstrasse-21/hotel-bildungszentrum-21-ag-2;061 260 21 21 *;;;Missionsstrasse 21, 4055 Basel
Hotel City Zürich;https://tel.search.ch/zuerich/loewenstrasse-34/hotel-city-zuerich;044 217 17 17 *;;;Löwenstrasse 34, 8001 Zürich
Hotel Glockenhof;https://tel.search.ch/zuerich/sihlstrasse-31/hotel-glockenhof-2;044 225 91 91 *;;;Sihlstrasse 31, 8001 Zürich
Hôtel-Restaurant du Cerf;https://tel.search.ch/sonceboz-sombeval/rue-du-college-4/soldati-gastronomie-sa;032 488 33 22 *;;;rue du Collège 4, 2605 Sonceboz-Sombeval/BE
Hotel-Restaurant Mont-Vully;https://tel.search.ch/lugnorre/route-du-mont-50/hotel-restaurant-mont-vully;026 673 21 21 *;;;route du Mont 50, 1789 Lugnorre/FR
Hotel Restaurant Wolfensberg;https://tel.search.ch/degersheim/-/hotel-restaurant-wolfensberg;071 370 02 02 *;;;9113 Degersheim/SG
Hotel Rössli Tufertschwil  AG;https://tel.search.ch/luetisburg/tufertschwil-20/hotel-landgasthof-roessli;071 932 01 00 *;;;Tufertschwil 20, 9604 Lütisburg/SG
Hotel THE DOM****;https://tel.search.ch/saas-fee/dorfplatz-2/hotel-the-dom;027 958 77 00 *;;;Dorfplatz 2, 3906 Saas-Fee/VS
Hotel Visperhof;https://tel.search.ch/visp/bahnhofstrasse-2/hotel-visperhof-2;027 948 38 00 *;;;Bahnhofstrasse 2, 3930 Visp/VS
Parkhotel Brenscino -        3 Stelle Superior;https://tel.search.ch/brissago/via-sacro-monte-21/parkhotel-brenscino-3-stelle-superior;091 786 81 11 *;;;via Sacro Monte 21, 6614 Brissago/TI
See Hotel Gotthard;https://tel.search.ch/weggis/gotthardstrasse-11/see-hotel-gotthard;041 390 21 14 *;;;Gotthardstrasse 11, 6353 Weggis/LU
Seminar- und Erlebnishotel RömerTurm;https://tel.search.ch/filzbach/kerenzerbergstrasse-104/hotel-roemerturm;055 614 62 62 *;;;Kerenzerbergstrasse 104, 8757 Filzbach/GL
Thermalp Les Bains d'Ovronnaz SA;https://tel.search.ch/ovronnaz/route-des-bains-93/thermalp-les-bains-dovronnaz-sa;027 305 11 11 *;;;route des Bains 93, 1911 Ovronnaz/VS
Weisses Rössli;https://tel.search.ch/brunnen/bahnhofstrasse-8/weisses-roessli;041 825 13 00 *;;;Bahnhofstrasse 8, 6440 Brunnen/SZ
Alpenblick;https://tel.search.ch/bern/kasernenstrasse-29/alpenblick;031 335 66 66;;;Kasernenstrasse 29, 3013 Bern
Al Ponte;https://tel.search.ch/wangen-an-der-aare/wangenstrasse-55/al-ponte;032 636 54 54;;;Wangenstrasse 55, 3380 Wangen an der Aare/BE
Apartments Swiss Star AG;https://tel.search.ch/kloten/obstgartenstrasse-22-24/apartments-swiss-star-ag;043 255 57 57 *;;;Obstgartenstrasse 22/24, 8302 Kloten/ZH
Bernerhof;https://tel.search.ch/gstaad/bahnhofstrasse-2/bernerhof;033 748 88 44 *;;;Bahnhofstrasse 2, 3780 Gstaad/BE
Castell;https://tel.search.ch/zuoz/via-castell-300/castell;081 851 52 53;;;Via Castell 300, 7524 Zuoz/GR
Central Plaza;https://tel.search.ch/zuerich/central-1/central-plaza;044 256 56 56 *;;;Central 1, 8001 Zürich
Felmis;https://tel.search.ch/horw/kastanienbaumstrasse-91/felmis;041 349 19 19 *;;;Kastanienbaumstrasse 91, 6048 Horw/LU
Florhof;https://tel.search.ch/zuerich/florhofgasse-4/florhof;044 250 26 26 *;;;Florhofgasse 4, 8001 Zürich
Giardino Mountain;https://tel.search.ch/champfer/via-maistra-3/giardino-mountain;081 836 63 00 *;;;Via Maistra 3, 7512 Champfèr/GR
