"URL 1","URL 2"
"https://fasttrack.grv.org.au/Meeting/Details/1836910058","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910058"
"https://fasttrack.grv.org.au/Meeting/Details/1836910067","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910067"
"https://fasttrack.grv.org.au/Meeting/Details/1836910072","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910072"
"https://fasttrack.grv.org.au/Meeting/Details/1836910073","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910073"
"https://fasttrack.grv.org.au/Meeting/Details/1836910075","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910075"
"https://fasttrack.grv.org.au/Meeting/Details/1836910080","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910080"
"https://fasttrack.grv.org.au/Meeting/Details/1836910081","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910081"
"https://fasttrack.grv.org.au/Meeting/Details/1836910082","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910082"
"https://fasttrack.grv.org.au/Meeting/Details/1836910084","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910084"
"https://fasttrack.grv.org.au/Meeting/Details/1836910085","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910085"
"https://fasttrack.grv.org.au/Meeting/Details/1836910091","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910091"
"https://fasttrack.grv.org.au/Meeting/Details/1836910094","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910094"
"https://fasttrack.grv.org.au/Meeting/Details/1836910095","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910095"
"https://fasttrack.grv.org.au/Meeting/Details/1753990063","https://fasttrack.grv.org.au/RaceField/ViewRaces/1753990063"
"https://fasttrack.grv.org.au/Meeting/Details/1753990064","https://fasttrack.grv.org.au/RaceField/ViewRaces/1753990064"
"https://fasttrack.grv.org.au/Meeting/Details/1753990065","https://fasttrack.grv.org.au/RaceField/ViewRaces/1753990065"
"https://fasttrack.grv.org.au/Meeting/Details/1753990066","https://fasttrack.grv.org.au/RaceField/ViewRaces/1753990066"
"https://fasttrack.grv.org.au/Meeting/Details/1753990067","https://fasttrack.grv.org.au/RaceField/ViewRaces/1753990067"
"https://fasttrack.grv.org.au/Meeting/Details/1753990073","https://fasttrack.grv.org.au/RaceField/ViewRaces/1753990073"
"https://fasttrack.grv.org.au/Meeting/Details/1753990074","https://fasttrack.grv.org.au/RaceField/ViewRaces/1753990074"
"https://fasttrack.grv.org.au/Meeting/Details/1836910001","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910001"
"https://fasttrack.grv.org.au/Meeting/Details/1836910010","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910010"
"https://fasttrack.grv.org.au/Meeting/Details/1836910015","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910015"
"https://fasttrack.grv.org.au/Meeting/Details/1836910016","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910016"
"https://fasttrack.grv.org.au/Meeting/Details/1836910017","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910017"
"https://fasttrack.grv.org.au/Meeting/Details/1836910019","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910019"
"https://fasttrack.grv.org.au/Meeting/Details/1836910020","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910020"
"https://fasttrack.grv.org.au/Meeting/Details/1836910023","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910023"
"https://fasttrack.grv.org.au/Meeting/Details/1836910024","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910024"
"https://fasttrack.grv.org.au/Meeting/Details/1836910026","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910026"
"https://fasttrack.grv.org.au/Meeting/Details/1836910027","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910027"
"https://fasttrack.grv.org.au/Meeting/Details/1836910033","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910033"
"https://fasttrack.grv.org.au/Meeting/Details/1836910034","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910034"
"https://fasttrack.grv.org.au/Meeting/Details/1836910037","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910037"
"https://fasttrack.grv.org.au/Meeting/Details/1836910038","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910038"
"https://fasttrack.grv.org.au/Meeting/Details/1836910041","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910041"
"https://fasttrack.grv.org.au/Meeting/Details/1836910047","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910047"
"https://fasttrack.grv.org.au/Meeting/Details/1836910048","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910048"
"https://fasttrack.grv.org.au/Meeting/Details/1836910049","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910049"
"https://fasttrack.grv.org.au/Meeting/Details/1836910051","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910051"
"https://fasttrack.grv.org.au/Meeting/Details/1836910052","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910052"
"https://fasttrack.grv.org.au/Meeting/Details/1836910054","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910054"
"https://fasttrack.grv.org.au/Meeting/Details/1836910056","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910056"
"https://fasttrack.grv.org.au/Meeting/Details/1836910068","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910068"
"https://fasttrack.grv.org.au/Meeting/Details/1836910069","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910069"
"https://fasttrack.grv.org.au/Meeting/Details/1836910070","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910070"
"https://fasttrack.grv.org.au/Meeting/Details/1836910071","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910071"
"https://fasttrack.grv.org.au/Meeting/Details/1836910078","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910078"
"https://fasttrack.grv.org.au/Meeting/Details/1912570009","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570009"
"https://fasttrack.grv.org.au/Meeting/Details/1912570078","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570078"
"https://fasttrack.grv.org.au/Meeting/Details/1958240005","https://fasttrack.grv.org.au/RaceField/ViewRaces/1958240005"
"https://fasttrack.grv.org.au/Meeting/Details/1912570000","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570000"
"https://fasttrack.grv.org.au/Meeting/Details/1912570006","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570006"
"https://fasttrack.grv.org.au/Meeting/Details/1912570007","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570007"
"https://fasttrack.grv.org.au/Meeting/Details/1912570010","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570010"
"https://fasttrack.grv.org.au/Meeting/Details/1912570015","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570015"
"https://fasttrack.grv.org.au/Meeting/Details/1912570016","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570016"
"https://fasttrack.grv.org.au/Meeting/Details/1912570024","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570024"
"https://fasttrack.grv.org.au/Meeting/Details/1912570031","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570031"
"https://fasttrack.grv.org.au/Meeting/Details/1912570032","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570032"
"https://fasttrack.grv.org.au/Meeting/Details/1912570042","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570042"
"https://fasttrack.grv.org.au/Meeting/Details/1912570049","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570049"
"https://fasttrack.grv.org.au/Meeting/Details/1912570050","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570050"
"https://fasttrack.grv.org.au/Meeting/Details/1912570060","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570060"
"https://fasttrack.grv.org.au/Meeting/Details/1912570061","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570061"
"https://fasttrack.grv.org.au/Meeting/Details/1912570075","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570075"
"https://fasttrack.grv.org.au/Meeting/Details/1912570077","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570077"
"https://fasttrack.grv.org.au/Meeting/Details/1912570083","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570083"
"https://fasttrack.grv.org.au/Meeting/Details/1912570085","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570085"
"https://fasttrack.grv.org.au/Meeting/Details/1912570089","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570089"
"https://fasttrack.grv.org.au/Meeting/Details/1958240006","https://fasttrack.grv.org.au/RaceField/ViewRaces/1958240006"
"https://fasttrack.grv.org.au/Meeting/Details/1958240007","https://fasttrack.grv.org.au/RaceField/ViewRaces/1958240007"
"https://fasttrack.grv.org.au/Meeting/Details/1836910063","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910063"
"https://fasttrack.grv.org.au/Meeting/Details/1836910065","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910065"
"https://fasttrack.grv.org.au/Meeting/Details/1836910076","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910076"
"https://fasttrack.grv.org.au/Meeting/Details/1912570001","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570001"
"https://fasttrack.grv.org.au/Meeting/Details/1912570003","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570003"
"https://fasttrack.grv.org.au/Meeting/Details/1912570008","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570008"
"https://fasttrack.grv.org.au/Meeting/Details/1912570011","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570011"
"https://fasttrack.grv.org.au/Meeting/Details/1912570013","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570013"
"https://fasttrack.grv.org.au/Meeting/Details/1912570017","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570017"
"https://fasttrack.grv.org.au/Meeting/Details/1912570020","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570020"
"https://fasttrack.grv.org.au/Meeting/Details/1912570023","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570023"
"https://fasttrack.grv.org.au/Meeting/Details/1912570026","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570026"
"https://fasttrack.grv.org.au/Meeting/Details/1912570028","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570028"
"https://fasttrack.grv.org.au/Meeting/Details/1912570033","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570033"
"https://fasttrack.grv.org.au/Meeting/Details/1912570036","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570036"
"https://fasttrack.grv.org.au/Meeting/Details/1912570038","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570038"
"https://fasttrack.grv.org.au/Meeting/Details/1912570041","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570041"
"https://fasttrack.grv.org.au/Meeting/Details/1912570046","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570046"
"https://fasttrack.grv.org.au/Meeting/Details/1912570051","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570051"
"https://fasttrack.grv.org.au/Meeting/Details/1912570054","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570054"
"https://fasttrack.grv.org.au/Meeting/Details/1912570056","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570056"
"https://fasttrack.grv.org.au/Meeting/Details/1912570059","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570059"
"https://fasttrack.grv.org.au/Meeting/Details/1912570063","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570063"
"https://fasttrack.grv.org.au/Meeting/Details/1912570071","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570071"
"https://fasttrack.grv.org.au/Meeting/Details/1912570076","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570076"
"https://fasttrack.grv.org.au/Meeting/Details/1912570079","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570079"
"https://fasttrack.grv.org.au/Meeting/Details/1912570080","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570080"
"https://fasttrack.grv.org.au/Meeting/Details/1912570082","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570082"
"https://fasttrack.grv.org.au/Meeting/Details/1912570086","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570086"
"https://fasttrack.grv.org.au/Meeting/Details/1912570087","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570087"
"https://fasttrack.grv.org.au/Meeting/Details/1912570088","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570088"
"https://fasttrack.grv.org.au/Meeting/Details/1912570090","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570090"
"https://fasttrack.grv.org.au/Meeting/Details/1836910060","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910060"
"https://fasttrack.grv.org.au/Meeting/Details/1836910061","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910061"
"https://fasttrack.grv.org.au/Meeting/Details/1836910062","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910062"
"https://fasttrack.grv.org.au/Meeting/Details/1836910064","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910064"
"https://fasttrack.grv.org.au/Meeting/Details/1836910066","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910066"
"https://fasttrack.grv.org.au/Meeting/Details/1836910074","https://fasttrack.grv.org.au/RaceField/ViewRaces/1836910074"
"https://fasttrack.grv.org.au/Meeting/Details/1912570002","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570002"
"https://fasttrack.grv.org.au/Meeting/Details/1912570004","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570004"
"https://fasttrack.grv.org.au/Meeting/Details/1912570005","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570005"
"https://fasttrack.grv.org.au/Meeting/Details/1912570012","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570012"
"https://fasttrack.grv.org.au/Meeting/Details/1912570014","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570014"
"https://fasttrack.grv.org.au/Meeting/Details/1912570018","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570018"
"https://fasttrack.grv.org.au/Meeting/Details/1912570019","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570019"
"https://fasttrack.grv.org.au/Meeting/Details/1912570021","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570021"
"https://fasttrack.grv.org.au/Meeting/Details/1912570025","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570025"
"https://fasttrack.grv.org.au/Meeting/Details/1912570027","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570027"
"https://fasttrack.grv.org.au/Meeting/Details/1912570029","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570029"
"https://fasttrack.grv.org.au/Meeting/Details/1912570030","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570030"
"https://fasttrack.grv.org.au/Meeting/Details/1912570034","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570034"
"https://fasttrack.grv.org.au/Meeting/Details/1912570035","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570035"
"https://fasttrack.grv.org.au/Meeting/Details/1912570037","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570037"
"https://fasttrack.grv.org.au/Meeting/Details/1912570039","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570039"
"https://fasttrack.grv.org.au/Meeting/Details/1912570043","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570043"
"https://fasttrack.grv.org.au/Meeting/Details/1912570044","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570044"
"https://fasttrack.grv.org.au/Meeting/Details/1912570045","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570045"
"https://fasttrack.grv.org.au/Meeting/Details/1912570047","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570047"
"https://fasttrack.grv.org.au/Meeting/Details/1912570048","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570048"
"https://fasttrack.grv.org.au/Meeting/Details/1912570052","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570052"
"https://fasttrack.grv.org.au/Meeting/Details/1912570053","https://fasttrack.grv.org.au/RaceField/ViewRaces/1912570053"
